,state,city,pflag,call_ltrs,month_tot_amt,month_dep_nml,24_hr_max,days_above_1,days_above_50,season_to_date,season_dep_nml,year_to_date_amt,year_to_date_dep_nml,year_to_date_pct_nml
229,VA,WASH/DULLES   ,2,IAD,41.0,-341.0,32.0,4.0,0.0,-999.0,-999.0,3026 ,-193,94.0
48,GA,ATHENS        ,0,AHN,140.0,-213.0,138.0,2.0,1.0,-999.0,-999.0,3521 ,-185,95.0
47,FL,WEST PALM BEAC,0,PBI,140.0,-670.0,84.0,9.0,1.0,-999.0,-999.0,4536 ,-189,96.0
187,PR,SAN JUAN      ,2,JSJ,961.0,401.0,286.0,9.0,6.0,-999.0,-999.0,3437 , -70,98.0
228,VA,ROANOKE       ,0,ROA,132.0,-253.0,57.0,7.0,2.0,-999.0,-999.0,3281 , -33,99.0
154,NC,RALEIGH       ,0,RDU,112.0,-314.0,96.0,4.0,1.0,-999.0,-999.0,3351 , -33,99.0
12,AZ,FLAGSTAFF     ,0,FLG,95.0,-117.0,70.0,6.0,1.0,-999.0,-999.0,1726 ,   0,100.0
142,NJ,ATLANTIC CITY ,0,ACY,137.0,-177.0,55.0,6.0,1.0,-999.0,-999.0,3144 ,   0,100.0
233,WA,SPOKANE       ,0,GEG,199.0,123.0,70.0,1.0,2.0,-999.0,-999.0,1111 ,   0,100.0
227,VA,RICHMOND      ,0,RIC,43.0,-355.0,38.0,3.0,0.0,-999.0,-999.0,3446 ,  35,101.0
111,MS,MERIDIAN      ,0,MEI,25.0,-339.0,24.0,2.0,0.0,-999.0,-999.0,4563 ,  46,101.0
236,WV,CHARLESTON    ,0,CRW,55.0,-290.0,22.0,4.0,0.0,-999.0,-999.0,3457 ,  35,101.0
32,CT,HARTFORD      ,0,BDL,195.0,-218.0,97.0,9.0,2.0,-999.0,-999.0,3542 ,  70,102.0
37,FL,FT MYERS      ,0,FMY,287.0,-499.0,109.0,7.0,2.0,-999.0,-999.0,4908 ,  97,102.0
83,KY,LEXINGTON     ,0,LEX,0.0,-311.0,0.0,0.0,0.0,-999.0,-999.0,3651 ,  72,102.0
55,HI,HONOLULU      ,0,HNL,218.0,144.0,111.0,7.0,2.0,-999.0,-999.0,1124 ,  23,102.0
110,MS,JACKSON       ,0,JAN,25.0,-298.0,21.0,2.0,0.0,-999.0,-999.0,4289 ,  85,102.0
96,MA,WORCESTER     ,1,ORH,219.0,-208.0,126.0,6.0,1.0,-999.0,-999.0,3742 , 109,103.0
35,FL,DAYTONA BEACH ,0,DAB,425.0,-236.0,132.0,4.0,3.0,-999.0,-999.0,4007 , 117,103.0
33,DC,WASHINGTON    ,0,DCA,27.0,-352.0,16.0,5.0,0.0,-999.0,-999.0,3104 ,  91,103.0
206,TX,AUSTIN        ,0,AUS,43.0,-248.0,18.0,3.0,0.0,-999.0,-999.0,2524 ,  74,103.0
181,PA,ERIE          ,0,ERI,331.0,-142.0,107.0,9.0,2.0,-999.0,-999.0,3218 ,  94,103.0
188,RI,PROVIDENCE    ,0,PVD,116.0,-254.0,36.0,7.0,0.0,-999.0,-999.0,3547 , 137,104.0
77,KS,DODGE CITY    ,0,DDC,20.0,-150.0,10.0,2.0,0.0,-999.0,-999.0,1993 ,  77,104.0
124,MT,KALISPELL     ,0,FCA,254.0,134.0,81.0,3.0,2.0,-999.0,-999.0,1367 ,  53,104.0
30,CO,PUEBLO        ,0,PUB,51.0,-33.0,34.0,3.0,0.0,-999.0,-999.0,1125 ,  44,104.0
29,CO,GRAND JUNCTION,0,GJT,26.0,-65.0,18.0,5.0,0.0,-999.0,-999.0,713  , 34,105.0
1,AL,HUNTSVILLE    ,0,HSV,27.0,-402.0,16.0,2.0,0.0,-999.0,-999.0,4549 , 217,105.0
82,KY,JACKSON       ,0,JKL,0.0,-377.0,0.0,0.0,0.0,-999.0,-999.0,3946 , 188,105.0
211,TX,DALLAS/FT WORT,2,DFW,0.0,-242.0,0.0,0.0,0.0,-999.0,-999.0,2713 , 154,106.0
217,TX,MIDLAND       ,0,MAF,104.0,-127.0,37.0,7.0,0.0,-999.0,-999.0,1243 ,  71,106.0
226,VA,NORFOLK       ,0,ORF,296.0,-110.0,158.0,3.0,2.0,-999.0,-999.0,3858 , 219,106.0
40,FL,MELBOURNE     ,0,MLB,209.0,-511.0,79.0,9.0,2.0,-999.0,-999.0,4050 , 230,106.0
50,GA,AUGUSTA       ,0,AGS,77.0,-282.0,27.0,3.0,0.0,-999.0,-999.0,3802 , 249,107.0
93,ME,PORTLAND      ,0,PWM,44.0,-293.0,25.0,7.0,0.0,-999.0,-999.0,3474 , 228,107.0
222,TX,WICHITA FALLS ,0,SPS,289.0,-30.0,134.0,5.0,2.0,-999.0,-999.0,2391 , 157,107.0
23,CA,SAN DIEGO     ,0,SAN,11.0,-10.0,10.0,2.0,0.0,-999.0,-999.0,854  , 56,107.0
87,LA,BATON ROUGE   ,0,BTR,254.0,-230.0,99.0,3.0,3.0,-999.0,-999.0,5255 , 344,107.0
205,TX,AMARILLO      ,0,AMA,110.0,-78.0,53.0,5.0,1.0,-999.0,-999.0,1808 , 119,107.0
235,WV,BECKLEY       ,0,BKW,11.0,-312.0,5.0,4.0,0.0,-999.0,-999.0,3572 , 265,108.0
204,TX,ABILENE       ,0,ABI,83.0,-208.0,50.0,4.0,1.0,-999.0,-999.0,1981 , 147,108.0
237,WV,ELKINS        ,0,EKN,48.0,-334.0,31.0,2.0,0.0,-999.0,-999.0,3919 , 291,108.0
105,MN,DULUTH        ,0,DLH,576.0,163.0,137.0,5.0,3.0,-999.0,-999.0,2763 , 205,108.0
224,VT,BURLINGTON    ,0,BTV,375.0,-8.0,113.0,2.0,3.0,-999.0,-999.0,3002 , 248,109.0
31,CT,BRIDGEPORT    ,0,BDR,93.0,-265.0,33.0,9.0,0.0,-999.0,-999.0,3661 , 303,109.0
141,NH,CONCORD       ,0,CON,103.0,-213.0,25.0,0.0,0.0,-999.0,-999.0,3005 , 249,109.0
28,CO,DENVER        ,0,DEN,41.0,-63.0,17.0,4.0,0.0,-999.0,-999.0,1300 , 119,110.0
59,ID,LEWISTON      ,0,LWS,106.0,26.0,22.0,1.0,0.0,-999.0,-999.0,1048 ,  96,110.0
146,NY,BINGHAMTON    ,0,BGM,188.0,-171.0,128.0,0.0,1.0,-999.0,-999.0,3207 , 292,110.0
14,AZ,TUCSON        ,0,TUS,247.0,102.0,66.0,0.0,1.0,-999.0,-999.0,1015 ,  93,110.0
120,MT,BUTTE         ,0,BTM,196.0,87.0,52.0,2.0,1.0,-999.0,-999.0,1202 , 120,111.0
199,TN,CHATTANOOGA   ,0,CHA,56.0,-375.0,46.0,3.0,0.0,-999.0,-999.0,4617 , 458,111.0
238,WV,HUNTINGTON    ,0,HTS,1.0,-279.0,1.0,1.0,0.0,-999.0,-999.0,3667 , 364,111.0
209,TX,COLLEGE STATIO,0,CLL,221.0,-170.0,105.0,6.0,2.0,-999.0,-999.0,3254 , 349,112.0
