,state,city,pflag,call_ltrs,month_tot_amt,month_dep_nml,24_hr_max,days_above_1,days_above_50,season_to_date,season_dep_nml,year_to_date_amt,year_to_date_dep_nml,year_to_date_pct_nml
63,IL,PEORIA        ,0,PIA,768.0,456.0,313.0,2.0,5.0,-999.0,-999.0,4289 ,1504,154.0
73,IA,DUBUQUE       ,0,DBQ,1292.0,936.0,372.0,6.0,7.0,-999.0,-999.0,4457 ,1582,155.0
107,MN,MINNEAPOLIS   ,0,MSP,403.0,134.0,124.0,2.0,2.0,-999.0,-999.0,3792 ,1362,156.0
245,WY,CASPER        ,0,CPR,141.0,43.0,34.0,8.0,0.0,-999.0,-999.0,1630 , 586,156.0
22,CA,SACRAMENTO    ,0,SAC,12.0,-24.0,8.0,2.0,0.0,-999.0,-999.0,1948 , 708,157.0
158,ND,FARGO         ,0,FAR,445.0,227.0,137.0,0.0,3.0,-999.0,-999.0,2755 ,1001,157.0
7,AK,FAIRBANKS     ,0,FAI,106.0,-6.0,29.0,9.0,0.0,-999.0,-999.0,1252 , 455,157.0
123,MT,HELENA        ,0,HLN,304.0,199.0,75.0,1.0,3.0,-999.0,-999.0,1536 , 564,158.0
197,SD,SIOUX FALLS   ,0,FSD,288.0,30.0,108.0,0.0,2.0,-999.0,-999.0,3341 ,1253,160.0
109,MN,ST. CLOUD     ,0,STC,756.0,463.0,199.0,5.0,6.0,-999.0,-999.0,3621 ,1358,160.0
115,MO,KANSAS CITY   ,0,MCI,579.0,115.0,234.0,9.0,4.0,-999.0,-999.0,4909 ,1841,160.0
119,MT,BILLINGS      ,0,BIL,324.0,190.0,88.0,2.0,4.0,-999.0,-999.0,1946 , 738,161.0
160,ND,JAMESTOWN     ,0,JMS,460.0,286.0,138.0,2.0,5.0,-999.0,-999.0,2587 , 991,162.0
157,ND,DICKINSON     ,0,DIK,562.0,400.0,160.0,6.0,2.0,-999.0,-999.0,2300 , 889,163.0
247,WY,LANDER        ,0,LND,148.0,34.0,58.0,7.0,1.0,-999.0,-999.0,1705 , 659,163.0
137,NV,ELY           ,0,ELY,79.0,-15.0,65.0,5.0,1.0,-999.0,-999.0,1285 , 502,164.0
15,AR,FORT SMITH    ,0,FSM,227.0,-134.0,92.0,6.0,2.0,-999.0,-999.0,5234 ,2062,165.0
125,MT,MILES CITY    ,0,MLS,233.0,114.0,99.0,0.0,1.0,-999.0,-999.0,1888 , 751,166.0
240,WI,GREEN BAY     ,0,GRB,938.0,627.0,209.0,5.0,6.0,-999.0,-999.0,3908 ,1568,167.0
174,OR,BURNS         ,0,BNO,112.0,62.0,51.0,8.0,1.0,-999.0,-999.0,1252 , 507,168.0
139,NV,RENO          ,0,RNO,30.0,-15.0,22.0,4.0,0.0,-999.0,-999.0,906  ,370,169.0
207,TX,BEAUMONT      ,0,BPT,2318.0,1708.0,163.0,9.0,4.0,-999.0,-999.0,7684 ,3164,170.0
11,AK,NOME          ,0,OME,437.0,186.0,106.0,0.0,1.0,-999.0,-999.0,2157 , 889,170.0
132,NE,NORTH PLATTE  ,0,LBF,95.0,-37.0,41.0,6.0,0.0,-999.0,-999.0,2961 ,1240,172.0
156,ND,BISMARCK      ,0,BIS,577.0,416.0,140.0,3.0,4.0,-999.0,-999.0,2501 ,1056,173.0
162,ND,WILLISTON     ,0,ISN,811.0,676.0,234.0,5.0,5.0,-999.0,-999.0,2113 , 906,175.0
127,NE,GRAND ISLAND  ,0,GRI,137.0,-106.0,50.0,6.0,1.0,-999.0,-999.0,3946 ,1717,177.0
121,MT,GLASGOW       ,0,GGW,435.0,337.0,161.0,2.0,4.0,-999.0,-999.0,1733 , 760,178.0
136,NV,ELKO          ,0,EKO,240.0,172.0,102.0,0.0,2.0,-999.0,-999.0,1251 , 560,181.0
108,MN,ROCHESTER     ,0,RST,843.0,531.0,270.0,7.0,5.0,-999.0,-999.0,4765 ,2147,182.0
135,NE,VALENTINE     ,0,VTN,267.0,106.0,102.0,8.0,2.0,-999.0,-999.0,3318 ,1590,192.0
195,SD,HURON         ,0,HON,331.0,151.0,113.0,9.0,2.0,-999.0,-999.0,3631 ,1825,201.0
134,NE,SCOTTSBLUFF   ,0,BFF,104.0,-18.0,45.0,6.0,0.0,-999.0,-999.0,2808 ,1411,201.0
196,SD,RAPID CITY    ,0,RAP,270.0,160.0,117.0,1.0,2.0,-999.0,-999.0,3231 ,1808,227.0
5,AK,BARROW        ,0,BRW,93.0,24.0,23.0,3.0,0.0,-999.0,-999.0,930  ,582,267.0
